,Linked Page,Directory Page,University,Entity,Maybe Uni
Lucas  Pinheiro,http://lucasgpinheiro.com/,https://socialsciences.uchicago.edu/directory/lucas-pinheiro,"I am the recipient of the 2020 Stephen E. Bronner Dissertation Award in New Political Science from the American Political Science Association and the 2021 Swogger Award for Exemplary Classroom Teaching. I hold a PhD and MA in Political Science from the University of Chicago, an MPhil in Political Thought and Intellectual History from the University of Cambridge, and a BA (hons.) in Political Science with International Relations from the University of British Columbia. In 2017, I co-founded the History and Theory of Capitalism Workshop with colleagues in the Departments of Political Science and History at the University of Chicago.","[[('2020', 'CARDINAL'), ('Stephen E. Bronner Dissertation Award', 'PERSON'), ('the American Political Science Association', 'ORG'), ('2021', 'DATE'), ('Swogger Award', 'WORK_OF_ART')], [('PhD', 'WORK_OF_ART'), ('MA', 'FAC'), ('the University of Chicago', 'ORG'), ('MPhil', 'GPE'), ('Intellectual History', 'PERSON'), ('the University of Cambridge', 'ORG')], [('the University of British Columbia', 'ORG')], [('2017', 'DATE'), ('the University of Chicago', 'ORG')]]",the University of Chicago
Kimberly Lewis Meidenbauer,https://voices.uchicago.edu/bermanlab/kim-lewis-bio/,https://socialsciences.uchicago.edu/directory/kimberly-lewis-meidenbauer,"Kim received her B.A. in Psychology at the University of WI-Milwaukee in 2012 and her PhD in Integrative Neuroscience at the University of Chicago in 2020. Before beginning grad school, Kim worked in Dr. Christine Larson’s Affective Neuroscience Lab at UW-Milwaukee performing ERP studies of emotion and at the Medical College of Wisconsin in a multi-modal neuroimaging lab. Her dissertation work was conducted in the Environmental Neuroscience Lab and focused on determining the role of nature preferences in the psychological benefits of nature exposure. Currently, Kim is a postdoctoral fellow working in the ENL and collaborating with the Goldin-Meadow Lab. Her current projects include employing functional Near-Infrared Spectroscopy (fNIRS) to measure brain activity in naturalistic settings, mapping disparities in the physical environments of Chicago neighborhoods, and elaborating how heat stress influences cognitive processing, mood, and aggressive behaviors.","[[('Kim', 'PERSON'), ('B.A.', 'GPE'), ('the University of WI-Milwaukee', 'ORG'), ('2012', 'DATE'), ('PhD', 'WORK_OF_ART'), ('Integrative Neuroscience', 'ORG'), ('the University of Chicago', 'ORG'), ('2020', 'DATE')], [('Kim', 'PERSON'), ('Christine Larson', 'PERSON')], [('UW-Milwaukee', 'ORG')], [('ERP', 'ORG'), ('the Medical College of Wisconsin', 'ORG')], [('the Environmental Neuroscience Lab', 'ORG')], [('Kim', 'PERSON'), ('ENL', 'ORG'), ('the Goldin-Meadow Lab', 'ORG')], [('Near-Infrared Spectroscopy', 'ORG'), ('Chicago', 'GPE')]]",Near-Infrared Spectroscopy
Konrad Weeda,https://socialthought.uchicago.edu/directory/konrad-weeda,https://socialsciences.uchicago.edu/directory/konrad-weeda,"Konrad Weeda is a scholar of Latin literature and the history of political thought. His undergraduate training was in classics at the University of Chicago (2011), where he subsequently received his PhD from the Committee on Social Thought and the Department of Classics (2019). His research examines the intersection of literary criticism and political thought (broadly defined) in Rome under the late Republic and early Empire. In his current appointment as a Teaching Fellow in Social Sciences he teaches in the core sequence Classics of Social and Political Thought. He has also taught Latin and Greek, as well as the senior thesis seminar in Classics.","[[('Konrad Weeda', 'PERSON'), ('Latin', 'NORP')], [('the University of Chicago', 'ORG'), ('2011', 'DATE'), ('PhD', 'WORK_OF_ART'), ('the Committee on Social Thought', 'ORG'), ('the Department of Classics (2019', 'ORG')], [('Rome', 'GPE')], [('Social Sciences', 'ORG'), ('Classics of Social and Political Thought', 'ORG')], [('Latin', 'NORP'), ('Greek', 'NORP'), ('Classics', 'GPE')]]",Classics of Social and Political Thought
Lara Janson,https://sociology.uchicago.edu/content/postdoctoral-researchers,https://socialsciences.uchicago.edu/directory/lara-janson,Still Working on This,[[]],University of California
Nick Judd,https://nickjudd.com/,https://socialsciences.uchicago.edu/directory/nick-judd,Still Working on This,[[]],University of California
Darryl Li,https://anthropology.uchicago.edu/people/faculty/darryl-li,https://socialsciences.uchicago.edu/directory/darryl-li,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Sarah Newman,https://anthropology.uchicago.edu/people/faculty/Sarah-Newman,https://socialsciences.uchicago.edu/directory/sarah-newman,Brown University,"[[('Brown University', 'ORG')]]",Brown University
Natacha Nsabimana,https://anthropology.uchicago.edu/people/faculty/natacha-nsabimana,https://socialsciences.uchicago.edu/directory/natacha-nsabimana,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Kathryn Takabvirwa,https://anthropology.uchicago.edu/people/faculty/kathryn-takabvirwa,https://socialsciences.uchicago.edu/directory/kathryn-takabvirwa,Stanford University,"[[('Stanford University', 'ORG')]]",Stanford University
Mareike Winchell,https://anthropology.uchicago.edu/people/faculty/mareike-winchell,https://socialsciences.uchicago.edu/directory/mareike-winchell,University of California,"[[('University of California', 'ORG')]]",University of California
Peter Hull,https://economics.uchicago.edu/directory/peter-hull-0,https://socialsciences.uchicago.edu/directory/peter-hull,Still Working on This,[[]],University of California
Anne Karing,No Link,https://socialsciences.uchicago.edu/directory/anne-karing,"Anne Karing’s research is on the intersection of development and behavioral economics. Since receiving her PhD in economics from the University of California, Berkeley in 2019, she has been an Assistant Professor of Economics and Public Affairs at Princeton University, as well as a visiting researcher at Stockholm University.","[[('Anne Karing', 'PERSON')], [('PhD', 'WORK_OF_ART'), ('the University of California, Berkeley', 'ORG'), ('2019', 'DATE'), ('Princeton University', 'ORG'), ('Stockholm University', 'ORG')]]",Stockholm University
Thibaut B. Lamadon,https://economics.uchicago.edu/directory/thibaut-lamadon,https://socialsciences.uchicago.edu/directory/thibaut-b-lamadon,[],[],University of California
Simon Mongey,https://economics.uchicago.edu/directory/simon-mongey,https://socialsciences.uchicago.edu/directory/simon-mongey,New York University,"[[('New York University', 'ORG')]]",New York University
Doron Ravid,https://economics.uchicago.edu/directory/doron-ravid,https://socialsciences.uchicago.edu/directory/doron-ravid,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Joseph Root,No Link,https://socialsciences.uchicago.edu/directory/joseph-root,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Max Tabord-Meehan,https://economics.uchicago.edu/directory/max-tabord-meehan,https://socialsciences.uchicago.edu/directory/max-tabord-meehan,Northwestern University,"[[('Northwestern University', 'ORG')]]",Northwestern University
Alice Goff,https://history.uchicago.edu/directory/alice-m-goff,https://socialsciences.uchicago.edu/directory/alice-goff,University of California,"[[('University of California', 'ORG')]]",University of California
Mary Hicks,No Link,https://socialsciences.uchicago.edu/directory/mary-hicks,University of California,"[[('University of California', 'ORG')]]",University of California
Emily Kern,No Link,https://socialsciences.uchicago.edu/directory/emily-kern,University of California,"[[('University of California', 'ORG')]]",University of California
Matthew Kruer,https://history.uchicago.edu/directory/matthew-kruer,https://socialsciences.uchicago.edu/directory/matthew-kruer,University of Pennsylvania,"[[('University of Pennsylvania', 'ORG')]]",University of Pennsylvania
Gabriel Winant,https://history.uchicago.edu/directory/gabriel-winant,https://socialsciences.uchicago.edu/directory/gabriel-winant,Yale University,"[[('Yale University', 'ORG')]]",Yale University
Robert  Gulotty,https://political-science.uchicago.edu/directory/robert-gulotty,https://socialsciences.uchicago.edu/directory/robert-gulotty,D Stanford,"[[('Stanford', 'ORG')]]",Stanford
Demetra Kasimis,https://political-science.uchicago.edu/directory/demetra-kasimis,https://socialsciences.uchicago.edu/directory/demetra-kasimis,"Demetra Kasimis is an assistant professor in the Department of Political Science at the University of Chicago. Her research and teaching include democratic theory and the history of political thought especially in classical Athens; membership politics and migration; post-war continental political theory; and feminist theory. She is a graduate of Columbia University, where she majored in philosophy and concentrated in Hellenic Studies before receiving her PhD in political science from Northwestern University. At Chicago, she is an associated faculty member of the Department of Classics, a member of the affiliated faculty and board of the Center for the Study of Gender and Sexuality, and a fellow of the Chicago Center for Contemporary Theory (3CT). Kasimis is an associate editor of POLIS: The Journal for Ancient Greek and Roman Political Thought, for which she oversees submissions on the political aspects of Greek literature. Her research has been funded by the National Endowment for the Humanities, the American Council for Learned Societies, the Mellon Foundation, and the Fulbright Foundation.","[[('Demetra Kasimis', 'PERSON'), ('the Department of Political Science', 'ORG'), ('the University of Chicago', 'ORG')], [('Athens', 'GPE')], [('Columbia University', 'ORG'), ('Hellenic Studies', 'ORG'), ('PhD', 'WORK_OF_ART'), ('Northwestern University', 'ORG')], [('Chicago', 'GPE'), ('the Department of Classics', 'ORG'), ('the Center for the Study of Gender and Sexuality', 'ORG'), ('the Chicago Center for Contemporary Theory', 'ORG'), ('3CT', 'CARDINAL')], [('Kasimis', 'PERSON')], [('The Journal for Ancient Greek', 'ORG'), ('Greek', 'NORP')], [('the National Endowment for the Humanities', 'ORG'), ('the American Council for Learned Societies', 'ORG'), ('the Mellon Foundation', 'ORG'), ('the Fulbright Foundation', 'ORG')]]",the Fulbright Foundation
Matthew Landauer,https://political-science.uchicago.edu/directory/matthew-landauer,https://socialsciences.uchicago.edu/directory/matthew-landauer,D Harvard,"[[('Harvard', 'ORG')]]",Harvard
Zhaotian Luo,https://political-science.uchicago.edu/directory/zhaotian-luo,https://socialsciences.uchicago.edu/directory/zhaotian-luo,"Zhaotian Luo is a formal theorist with a broad substantive interest in political institutions and political economy of non-democracies. He specializes in developing and applying game theoretic models to explain interactions among political actors as well as the foundations and performance of political institutions. His current research centers on the role of information in politics. In his dissertation, Zhaotian develops several models to explain how information can be produced, communicated, and manipulated for political purposes. Besides theories about information, Zhaotian is interested in non-democracies, or more generally, comparative politics in weak institutional contexts. Zhaotian joins the University of Chicago in July 2019 after receiving his PhD from New York University.","[[('Zhaotian Luo', 'PERSON')], [], [], [('Zhaotian', 'PERSON')], [('Zhaotian', 'PERSON')], [('Zhaotian', 'PERSON'), ('the University of Chicago', 'ORG'), ('July 2019', 'DATE'), ('PhD', 'WORK_OF_ART'), ('New York University', 'ORG')]]",New York University
Molly Offer-Westort,https://political-science.uchicago.edu/directory/molly-offer-westort,https://socialsciences.uchicago.edu/directory/molly-offer-westort,"Molly Offer-Westort works on quantitative methodology for social science research, with a focus on causal inference and experimental design. Offer-Westort's PhD is joint in Political Science and Statistics & Data Science, conferred by Yale University in 2019; Offer-Westort also holds a Masters in Statistics, also from Yale, and a Masters in Public Affairs, from the Princeton School of Public and International Affairs.","[[], [('PhD', 'WORK_OF_ART'), ('Yale University', 'ORG'), ('2019', 'DATE'), ('Offer-Westort', 'ORG'), ('Statistics', 'GPE'), ('Yale', 'ORG'), ('the\xa0Princeton School of Public and International Affairs', 'ORG')]]",the Princeton School of Public and International Affairs
Anton Strezhnev,https://political-science.uchicago.edu/directory/anton-strezhnev,https://socialsciences.uchicago.edu/directory/anton-strezhnev,"Anton Strezhnev is an assistant professor in the Department of Political Science. He most recently served as a CDS-Moore-Sloan Data Science Fellow at the New York University Center for Data Science. Strezhnev received the PhD in 2018 from the Department of Government at Harvard University. His research focuses on applied quantitative methodology, with an emphasis on developing methods for reliable causal inference in observational settings and descriptive analysis of network data. Substantively, he studies international organizations, the empirical analysis of law, and the governance of global trade and investment. Strezhnev is particularly interested in dispute settlement between investors and states along with the ways in which multinational firms leverage international legal regimes to influence the behavior of governments.","[[('Anton Strezhnev', 'PERSON'), ('the Department of Political Science', 'ORG')], [('the New York University Center for Data Science', 'ORG')], [('Strezhnev', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('2018', 'DATE'), ('the Department of Government', 'ORG'), ('Harvard University', 'ORG')], [], [], [('Strezhnev', 'ORG')]]",Strezhnev
Rochelle Terman,https://political-science.uchicago.edu/directory/rochelle-layla-terman,https://socialsciences.uchicago.edu/directory/rochelle-terman,"Terman earned her B.A. from the University of Chicago, and Ph.D. in Political Science with a designated emphasis in Gender & Women’s Studies from the University of California, Berkeley. She joins the University of Chicago from Stanford University, where she was a post-doc at the Center for International Security and Cooperation.","[[('Terman', 'PERSON'), ('B.A.', 'GPE'), ('the University of Chicago', 'ORG'), ('Ph.D.', 'WORK_OF_ART'), ('Gender & Women’s Studies', 'ORG'), ('the University of California, Berkeley', 'ORG')], [('the University of Chicago', 'ORG'), ('Stanford University', 'ORG'), ('the Center for International Security and Cooperation', 'ORG')]]",the Center for International Security and Cooperation
Yuan Chang Leong,https://psychology.uchicago.edu/directory/yuan-chang-leong,https://socialsciences.uchicago.edu/directory/yuan-chang-leong,"Yuan Chang Leong is joining the Department of Psychology as an Assistant Professor in July 2021. He received his A.B. in Psychology from Princeton University and his Ph.D. in Psychology from Stanford University. He then completed his postdoctoral training at the Helen Wills Neuroscience Institute at the University of California, Berkeley before moving to the University of Chicago.","[[('Yuan Chang Leong', 'PERSON'), ('the Department of Psychology', 'ORG'), ('July 2021', 'DATE')], [('Princeton University', 'ORG'), ('Ph.D. in Psychology', 'WORK_OF_ART'), ('Stanford University', 'ORG')], [('the Helen Wills Neuroscience Institute', 'ORG'), ('the University of California, Berkeley', 'ORG'), ('the University of Chicago', 'ORG')]]",the University of Chicago
Monica Rosenberg,https://psychology.uchicago.edu/directory/monica-rosenberg,https://socialsciences.uchicago.edu/directory/monica-rosenberg,"Monica Rosenberg joined the faculty as a Assistant Professor in 2019. Her research explores how we pay attention, and how insights from attention research can help improve focus. Dr. Rosenberg completed her PhD and postdoctoral work in the Department of Psychology at Yale University after earning her undergraduate degree in cognitive neuroscience at Brown University.","[[('Monica Rosenberg', 'PERSON'), ('2019', 'DATE')], [], [('Rosenberg', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('the Department of Psychology', 'ORG'), ('Yale University', 'ORG'), ('Brown University', 'ORG')]]",Brown University
Jai Yu,https://psychology.uchicago.edu/directory/jai-yu,https://socialsciences.uchicago.edu/directory/jai-yu,"For his postdoctoral research with Loren Frank at the University of California San Francisco, he used in-vivo electrophysiology to investigate the relationship between coordinated hippocampal-cortical activity and memory. As a data scientist at a startup in the San Francisco Bay Area, he analyzed clinical and device data for the development of wearable bioelectronic neuromodulation therapies. He completed graduate research with Barry Dickson at the Institute of Molecular Pathology in Vienna, Austria, where he used genetic and imaging methods to map a neural circuit in the Drosophila brain. He received a BBiomedSc and a BSc (Hons) from the University of Melbourne, Australia. ","[[('Loren Frank', 'PERSON'), ('the University of California San Francisco', 'ORG')], [('the San Francisco Bay Area', 'LOC')], [('Barry Dickson', 'PERSON'), ('the Institute of Molecular Pathology', 'ORG'), ('Vienna', 'GPE'), ('Austria', 'GPE'), ('Drosophila', 'GPE')], [('the University of Melbourne', 'ORG'), ('Australia', 'GPE')]]",the University of Melbourne
Constantine Nakassis,https://anthropology.uchicago.edu/people/faculty/constantine-v-nakassis,https://socialsciences.uchicago.edu/directory/constantine-nakassis,University of Pennsylvania,"[[('University of Pennsylvania', 'ORG')]]",University of Pennsylvania
Francois  Richard,https://anthropology.uchicago.edu/people/faculty/francois-g-richard,https://socialsciences.uchicago.edu/directory/francois-richard,Syracuse University,"[[('Syracuse University', 'ORG')]]",Syracuse University
Alice Yao,https://anthropology.uchicago.edu/people/faculty/alice-yao,https://socialsciences.uchicago.edu/directory/alice-yao,University of Michigan,"[[('University of Michigan', 'ORG')]]",University of Michigan
Jane E. Dailey,https://history.uchicago.edu/directory/jane-dailey,https://socialsciences.uchicago.edu/directory/jane-e-dailey,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
Jacob Eyferth,https://history.uchicago.edu/directory/jacob-eyferth,https://socialsciences.uchicago.edu/directory/jacob-eyferth-0,Leiden University,"[[('Leiden University', 'ORG')]]",Leiden University
Eleonory Gilburd,https://history.uchicago.edu/directory/eleonory-gilburd,https://socialsciences.uchicago.edu/directory/eleonory-gilburd,University of California,"[[('University of California', 'ORG')]]",University of California
Adam Green,https://history.uchicago.edu/directory/adam-green,https://socialsciences.uchicago.edu/directory/adam-green,Yale University,"[[('Yale University', 'ORG')]]",Yale University
Faith C. Hillis,https://history.uchicago.edu/directory/faith-hillis,https://socialsciences.uchicago.edu/directory/faith-c-hillis,Yale University,"[[('Yale University', 'ORG')]]",Yale University
Benjamin Lessing,https://political-science.uchicago.edu/directory/benjamin-lessing,https://socialsciences.uchicago.edu/directory/benjamin-lessing,"Lessing received an MA in economics and a PhD in political science from the University of California, Berkeley, and completed a postdoctoral fellowship at Stanford University's Center on Democracy, Development, and the Rule of Law (CDDRL) and the Center on International Security and Cooperation (CISAC). He also holds a BA in economics and philosophy from Kenyon College. Prior to his graduate work, Lessing worked for 4 years as a researcher in Rio de Janeiro, at Viva Rio, Brazil’s largest NGO, and founded its Drugs and Human Security program. He also conducted field research in Latin America and the Caribbean for international organizations like Amnesty, Oxfam, and the Small Arms Survey, and was a Fulbright Student Grantee in Argentina and Uruguay. He was born in Rochester, Michigan.","[[('PhD', 'WORK_OF_ART'), ('the University of California, Berkeley', 'ORG'), (""Stanford University's Center on Democracy, Development"", 'ORG'), ('the Rule of Law', 'LAW'), ('CDDRL', 'ORG'), ('the Center on International Security and Cooperation (CISAC', 'ORG')], [('Kenyon College', 'ORG')], [('Lessing', 'ORG'), ('4 years', 'DATE'), ('Rio de Janeiro', 'GPE'), ('Viva Rio', 'GPE'), ('Brazil', 'GPE'), ('NGO', 'ORG'), ('Drugs and Human Security', 'ORG')], [('Latin America', 'LOC'), ('Caribbean', 'LOC'), ('Amnesty', 'ORG'), ('Oxfam', 'ORG'), ('the\xa0Small Arms Survey', 'PRODUCT'), ('a Fulbright Student Grantee', 'ORG'), ('Argentina', 'GPE'), ('Uruguay', 'GPE')], [('Rochester', 'GPE'), ('Michigan', 'GPE')]]",a Fulbright Student Grantee
Sankar Muthu,https://political-science.uchicago.edu/directory/sankar-muthu,https://socialsciences.uchicago.edu/directory/sankar-muthu,D Harvard,"[[('Harvard', 'ORG')]]",Harvard
Monika Nalepa,https://political-science.uchicago.edu/directory/monika-nalepa,https://socialsciences.uchicago.edu/directory/monika-nalepa,"Monika Nalepa (PhD, Columbia University) is associate professor of political science at the University of Chicago. With a focus on post-communist Europe, her research interests include transitional justice, parties and legislatures, and game-theoretic approaches to comparative politics. Her first book, Skeletons in the Closet: Transitional Justice in Post-Communist Europe was published in the Cambridge Studies in Comparative Politics Series and received the Best Book award from the Comparative Democratization section of the APSA and the Leon Epstein Outstanding Book Award from the Political Organizations and Parties section of the APSA. She has just completed her second book, Ritual Sacrifices: Transitional Justice and the Fate of Post-authoritarian Elites. She has also published articles in the Journal of Politics, Perspectives on Politics, the Journal of Comparative Politics, World Politics, Journal of Conflict Resolution, Journal of Theoretical Politics, Parliamentary Affairs, and Constitutional Political Economy. ","[[('Monika Nalepa', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('Columbia University', 'ORG'), ('the University of Chicago', 'ORG')], [('Europe', 'LOC')], [('first', 'ORDINAL'), ('Skeletons in the Closet: Transitional Justice in Post-Communist Europe', 'WORK_OF_ART'), ('the Cambridge Studies', 'ORG'), ('Comparative Politics Series', 'EVENT'), ('Comparative Democratization', 'ORG'), ('APSA', 'ORG'), ('the Leon Epstein Outstanding Book Award', 'ORG')], [('second', 'ORDINAL'), ('the Fate of Post', 'ORG')], [('the\xa0Journal of Politics', 'ORG'), ('Politics', 'NORP'), ('the\xa0Journal of Comparative Politics', 'ORG')]]",the Journal of Comparative Politics
Jon Rogowski,https://political-science.uchicago.edu/directory/jon-rogowski,https://socialsciences.uchicago.edu/directory/jon-rogowski,"Jon received his PhD in political science from the University of Chicago in 2012. Before returning to Chicago, he held faculty positions in the Department of Political Science at Washington University in St. Louis and the Department of Government at Harvard University.","[[('Jon', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('2012', 'DATE')], [('Chicago', 'GPE'), ('the Department of Political Science', 'ORG'), ('Washington University', 'ORG'), ('St. Louis', 'GPE'), ('the Department of Government', 'ORG'), ('Harvard University', 'ORG')]]",Harvard University
Sarah London,https://psychology.uchicago.edu/directory/sarah-london,https://socialsciences.uchicago.edu/directory/sarah-london,Sarah London received her BA in Biology and Psychology from Middlebury College and her PhD in Neuroscience from UCLA. She completed her postdoctoral research at the University of Illinois at Urbana-Champaign.,"[[('Sarah London', 'PERSON'), ('Biology', 'ORG'), ('Middlebury College', 'ORG'), ('PhD', 'WORK_OF_ART'), ('Neuroscience', 'ORG'), ('UCLA', 'ORG')], [('the University of Illinois at Urbana-Champaign', 'ORG')]]",the University of Illinois at Urbana-Champaign
Gregory J. Norman,https://psychology.uchicago.edu/directory/greg-j-norman,https://socialsciences.uchicago.edu/directory/gregory-j-norman,Greg J. Norman joined the faculty at the University of Chicago in 2012 as an Assistant Professor of Psychology with a secondary appointment in Psychiatry and Behavioral Neuroscience. He received bachelor degrees in Psychology and Philosophy from The Ohio State University in 2007. He entered graduate school at Ohio State where he worked in the laboratories of A. Courtney DeVries and Gary G. Berntson and received his Ph.D. in Psychology with a specialization in behavioral neuroscience in 2010. His graduate research primarily focused on understanding the physiological processes underlying the relationship between social interaction and health outcomes using both animal models and human participants. Following graduate school he worked as a post-doctoral research scholar in the laboratory of John T. Cacioppo at The University of Chicago where he continued his research in the field of social neuroscience.,"[[('Greg J. Norman', 'PERSON'), ('the University of Chicago', 'ORG'), ('2012', 'DATE'), ('secondary', 'ORDINAL'), ('Psychiatry', 'GPE')], [('The Ohio State University', 'ORG'), ('2007', 'DATE')], [('Ohio State', 'ORG'), ('A. Courtney DeVries', 'PERSON'), ('Gary G. Berntson', 'PERSON'), ('Ph.D. in Psychology', 'WORK_OF_ART'), ('2010', 'DATE')], [], [('John T. Cacioppo', 'PERSON'), ('The University of Chicago', 'ORG')]]",The University of Chicago
Alexander  Shaw,https://psychology.uchicago.edu/directory/alex-shaw,https://socialsciences.uchicago.edu/directory/alexander-shaw,Alex Shaw joined the faculty at The University of Chicago in 2015. He received his Ph.D. in Developmental Psychology at Yale University after completing his undergraduate degree at the University of Pennsylvania. He then did a post-doctoral fellowship in the Center for Decision Research at at the University of Chicago's Booth School of Business. ,"[[('Alex Shaw', 'PERSON'), ('The University of Chicago', 'ORG'), ('2015', 'DATE')], [('Ph.D. in Developmental Psychology', 'WORK_OF_ART'), ('Yale University', 'ORG'), ('the University of Pennsylvania', 'ORG')], [('the Center for Decision Research', 'ORG'), (""the University of Chicago's"", 'ORG'), ('Booth School of Business', 'ORG')]]",Booth School of Business
Kimberly  Hoang,https://sociology.uchicago.edu/directory/kimberly-kay-hoang,https://socialsciences.uchicago.edu/directory/kimberly-hoang,Still Working on This,[[]],University of California
Kristen Schilt,https://sociology.uchicago.edu/directory/kristen-schilt,https://socialsciences.uchicago.edu/directory/kristen-schilt,Still Working on This,[[]],University of California
Geoffrey Wodtke,https://sociology.uchicago.edu/directory/geoffrey-wodtke-0,https://socialsciences.uchicago.edu/directory/geoffrey-wodtke,"Geoff Wodtke’s research is in the areas of neighborhood effects and urban poverty, group conflict and racial attitudes, class structure and income inequality, and methods of causal inference in observational research. He is currently working on several projects dealing with the impact of neighborhood poverty on child development, the link between private business ownership and growing income inequality, and new methods for estimating causal effects in longitudinal studies. His previous work on these topics has been published in the American Sociological Review, American Journal of Sociology, Demography, and Sociological Methodology, among other outlets. Wodtke completed his PhD in Sociology at the University of Michigan in 2014, where he also earned his MA in statistics.","[[('Geoff Wodtke', 'PERSON')], [], [('the\xa0American Sociological Review', 'ORG'), ('American Journal of Sociology', 'ORG'), ('Demography', 'PERSON')], [('Wodtke', 'GPE'), ('PhD', 'WORK_OF_ART'), ('the University of Michigan', 'ORG'), ('2014', 'DATE'), ('MA', 'ORG')]]",MA
Judith B. Farquhar,https://anthropology.uchicago.edu/people/emeritus-faculty/judith-farquhar,https://socialsciences.uchicago.edu/directory/judith-b-farquhar,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
James Fernandez,https://anthropology.uchicago.edu/people/emeritus-faculty/james-fernandez,https://socialsciences.uchicago.edu/directory/james-fernandez,Northwestern University,"[[('Northwestern University', 'ORG')]]",Northwestern University
John J. Macaloon,https://mapss.uchicago.edu/directory/john-macaloon,https://socialsciences.uchicago.edu/directory/john-j-macaloon,"John J. MacAloon is Director Emeritus of MAPSS; Professor in the Social Sciences Graduate Division and The College; and Associated Faculty in the Department of Anthropology at The University of Chicago. He served for over two decades as Director of the MAPSS Program. He holds a BA in philosophy from Catholic University and the MA and PhD from The John U. Nef Committee on Social Thought here at Chicago. An anthropologist and historian, his research focuses theoretically on cultural performance theory and substantively on the modern Olympic Movement and Olympic Games. He has taught the history of modern social theory to Chicago graduate and undergraduate students for over thirty years, winning the Quantrell Award for teaching excellence.","[[('John J. MacAloon', 'PERSON'), ('Emeritus', 'PERSON'), ('MAPSS', 'ORG'), ('the Social Sciences Graduate Division', 'ORG'), ('The College', 'ORG'), ('Associated Faculty', 'ORG'), ('the Department of Anthropology', 'ORG'), ('The University of Chicago', 'ORG')], [('two decades', 'DATE'), ('the MAPSS Program', 'ORG')], [('Catholic University', 'ORG'), ('PhD', 'WORK_OF_ART'), ('The John U. Nef Committee on Social Thought', 'ORG'), ('Chicago', 'GPE')], [('Olympic Movement', 'ORG'), ('Olympic Games', 'ORG')], [('Chicago', 'GPE'), ('thirty years', 'DATE'), ('the Quantrell Award', 'WORK_OF_ART')]]",Olympic Games
McKim Marriott,https://anthropology.uchicago.edu/people/emeritus-faculty/mckim-marriott,https://socialsciences.uchicago.edu/directory/mckim-marriott,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Nancy D. Munn,https://anthropology.uchicago.edu/people/emeritus-faculty/nancy-d-munn,https://socialsciences.uchicago.edu/directory/nancy-d-munn,Still Working on This,[[]],University of California
Raymond Fogelson,https://anthropology.uchicago.edu/people/emeritus-faculty/raymond-fogelson,https://socialsciences.uchicago.edu/directory/raymond-fogelson,Still Working on This,[[]],University of California
John A. Lucy,https://humdev.uchicago.edu/directory/john-lucy,https://socialsciences.uchicago.edu/directory/john-lucy,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Susan B. Stodolsky,No Link,https://socialsciences.uchicago.edu/directory/susan-b-stodolsky,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Arnold C. Harberger,https://economics.uchicago.edu/directory/arnold-c-harberger,https://socialsciences.uchicago.edu/directory/arnold-c-harberger,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Robert E. Lucas,https://economics.uchicago.edu/directory/robert-e-lucas-jr,https://socialsciences.uchicago.edu/directory/robert-e-lucas,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Lester G. Telser,https://economics.uchicago.edu/directory/lester-g-telser,https://socialsciences.uchicago.edu/directory/lester-g-telser,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Prasenjit Duara,https://history.uchicago.edu/directory/prasenjit-duara,https://socialsciences.uchicago.edu/directory/prasenjit-duara,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Constantin Fasolt,https://history.uchicago.edu/directory/constantin-fasolt,https://socialsciences.uchicago.edu/directory/constantin-fasolt,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Sheila Fitzpatrick,https://history.uchicago.edu/directory/sheila-fitzpatrick,https://socialsciences.uchicago.edu/directory/sheila-fitzpatrick,Still Working on This,[[]],University of California
Michael E. Geyer,https://history.uchicago.edu/directory/michael-geyer,https://socialsciences.uchicago.edu/directory/michael-e-geyer,Still Working on This,[[]],University of California
Jan Ellen Goldstein,https://history.uchicago.edu/directory/jan-goldstein,https://socialsciences.uchicago.edu/directory/jan-ellen-goldstein,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Hanna Gray,https://history.uchicago.edu/directory/hanna-holborn-gray,https://socialsciences.uchicago.edu/directory/hanna-gray,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
